MAL_ID,Genres_x,Japanese name
155,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural","エックス, X/1999"
156,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",X−エックス−
157,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",魔法先生 ネギま！
158,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",マリア様がみてる
159,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",忘却の旋律
160,"Adventure, Drama, Fantasy, Military, Sci-Fi",今、そこにいる僕
161,"Action, Comedy, Historical, Samurai, Shounen",PEACE MAKER 鐵
162,"Comedy, Fantasy, Kids, Romance, School, Shounen",ぴたテン
163,"Adventure, Comedy, Fantasy, Historical, Shounen",パワーストーン
164,"Action, Adventure, Fantasy",もののけ姫
165,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",ラーゼフォン
166,"Historical, Mecha, Samurai, Sci-Fi",サムライセブン
167,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",スクラップド・プリンセス
168,"Action, Sci-Fi, Adventure, Super Power, Drama",スクライド
169,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",真月譚 月姫
170,"Comedy, Drama, School, Shounen, Sports",スラムダンク
171,"Adventure, Drama, Fantasy",ストレンジ・ドーン
173,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",タクティクス
174,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",天上天下
175,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",東京アンダーグラウンド
176,"Adventure, Romance",とらいあんぐるハート -Sweet Songs Forever-
177,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",ツバサ・クロニクル
178,"Comedy, Magic, Romance, School, Shoujo",ウルトラマニアック
179,"Comedy, Magic, Romance, School",ウルトラマニアック
180,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",ヴァンドレッド
181,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",ヴァンドレッド the second stage
182,"Adventure, Psychological, Romance, Fantasy, Mecha",天空のエスカフローネ
183,"School, Shounen, Sports",ホイッスル！
184,"Action, Mecha, Sci-Fi, Shounen, Space",ゼノサーガ THE ANIMATION
185,"Action, Cars, Drama, Seinen, Sports",頭文字〈イニシャル〉D
186,"Action, Cars, Drama, Seinen, Sports",頭文字〈イニシャル〉D SECOND STAGE
187,"Action, Cars, Sports, Drama, Romance, Seinen",頭文字〈イニシャル〉D THIRD STAGE
189,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",ラブひな
190,"Comedy, Drama, Ecchi, Romance, Shounen",ラブ ひな Again
191,"Slice of Life, Comedy, Romance",ラブひなクリスマススペシャル ～サイレント・イヴ～
192,"Adventure, Comedy, Romance",ラブひな春スペシャル 〜キミサクラチルナカレ!!〜
193,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",まぶらほ
194,"Adventure, Mecha, Military, Sci-Fi, Shounen",マクロス ゼロ
195,"Sci-Fi, Comedy, Drama, Romance, School",おねがい☆ティーチャー
196,"Comedy, Drama, Harem, School, Sci-Fi",おねがい☆ツインズ
197,"Sci-Fi, Comedy, Romance, Ecchi, School",りぜるまいん
198,"Action, Mystery, Super Power",スピードグラファー
199,"Adventure, Supernatural, Drama",千と千尋の神隠し
200,"Comedy, Magic, Romance, Shounen",天使な小生意気
201,"Comedy, Drama, Ecchi, Romance",電影少女 VIDEO・GIRL・AI
202,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",ウルフズレイン
204,"Action, Comedy, Ecchi, Harem, Super Power",ゆめりあ
205,"Action, Adventure, Comedy, Historical, Samurai, Shounen",サムライチャンプルー
206,"Action, Adventure, Drama, Magic, Romance, Fantasy",ロードス島戦記　英雄騎士伝
207,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",ロードス島戦記
208,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",R.O.D リード・オア・ダイ
209,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",アール・オー・ディー ザ・ティーヴィー
210,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",らんま1/2
212,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",プロジェクトＡ子
215,"Comedy, Romance",Pia キャロット へ ようこそ!! 2 DX
216,"Comedy, Romance",Pia キャロットへようこそ！！劇場版～さやかの恋物語～
218,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",機動戦艦ナデシコ
219,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",機動戦艦ナデシコ The prince of darkness
222,"Action, Adventure, Comedy, Mystery, Sci-Fi",メゾ
223,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",ドラゴンボール
225,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",ドラゴンボールGT
226,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",エルフェンリート
227,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",フリクリ
228,"Mystery, Horror, Psychological, Supernatural",地獄少女
229,"Comedy, Parody, Martial Arts",ニニンがシノブ伝
230,"Action, Comedy, Martial Arts, Seinen",エアマスター
231,"Action, Comedy, Supernatural, Fantasy, Seinen",朝霧の巫女
232,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",カードキャプターさくら
233,"Comedy, Sci-Fi, Shoujo",だぁ! だぁ! だぁ!
234,"Adventure, Sports, Shounen",ダンドー
235,"Adventure, Mystery, Comedy, Police, Shounen",名探偵コナン
236,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",エスアザーワイズ
237,"Adventure, Drama, Mecha, Romance, Sci-Fi",交響詩篇エウレカセブン
238,"Action, Adventure, Martial Arts, Shounen, Super Power",烈火の炎
239,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",巌窟王
240,"Slice of Life, Comedy, Parody",げんしけん
241,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",GIRLSブラボー first season
242,"Slice of Life, Comedy, Drama, School, Josei",ごくせん
243,"Comedy, Music, Romance, Shoujo, Shounen Ai",グラビテーション
244,"Historical, Mystery",アガサ・クリスティーの名探偵ポワロとマープル
245,"Slice of Life, Comedy, Drama, School, Shounen",グレート・ティーチャー・オニヅカ
246,"Adventure, Comedy, Fantasy, Romance, Shounen",レイヴ
247,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",遙かなる時空の中で〜八葉抄〜
248,"Comedy, Ecchi, Harem, Romance, Shounen",いちご100%
249,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",犬夜叉
250,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",金色のガッシュベル!!
251,"Adventure, Comedy, Demons, Fantasy, Shoujo",今日からマ王！
252,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",マドラックス
253,"Slice of Life, Comedy, School",ジャングルはいつもハレのちグゥ
254,"Comedy, Slice of Life",ジャングルはいつもハレのちグゥ　デラックス
255,"Slice of Life, Comedy",ジャングルはいつもハレのちグゥ　ＦＩＮＡＬ
256,"Sci-Fi, Space, Drama, Romance, Mecha",ほしのこえ
257,"Ecchi, Super Power, Martial Arts, School",一騎当千
258,"Horror, Drama, Vampire",羊のうた
259,"Comedy, Harem, Romance, School",HAPPY☆LESSON
260,"Comedy, Drama, Harem, Romance, Slice of Life",HAPPY☆LESSON
261,"Comedy, Harem, Romance, Slice of Life",HAPPY☆LESSON ADVANCE
262,"Comedy, Harem, Romance, School",HAPPY☆LESSON THE FINAL
263,"Comedy, Sports, Drama, Shounen",はじめの一歩 THE FIGHTING!
264,"Comedy, Shounen, Sports",はじめの一歩 -Champion Road-
265,"Comedy, Sports, Shounen",はじめの一歩 間柴vs木村 死刑執行
266,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",ガンパレード・マーチ -新たなる行軍歌-
267,"Action, Drama, Sci-Fi, Seinen, Super Power",ガングレイヴ
268,"Adventure, Comedy, Ecchi",ゴールデンボーイ
269,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",BLEACH - ブリーチ -
270,"Action, Horror, Supernatural, Vampire, Seinen",Hellsing [ヘルシング]
271,"Sci-Fi, Adventure, Mecha, Shounen",ガドガード
272,"Action, Mystery, Drama",ノワール
273,"Slice of Life, Drama, Magic, Shounen",魔法遣いに大切なこと
274,"Action, Sci-Fi, Super Power, Ecchi, Mecha",キディ・グレイド
275,"Ecchi, Comedy, Harem, Romance",LOVE♥LOVE?
276,"Comedy, Ecchi, Military, Romance, Sci-Fi",まほろまてぃっく
277,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi",まほろまてぃっく  ~もっと美しいもの~
278,"Action, Sci-Fi, Comedy, Shounen",ビューティフル ジョー
279,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",京極夏彦　巷説百物語
280,"Adventure, Comedy, Fantasy, Shoujo",アニマル横町
281,"Comedy, Mecha, Romance",アカネマニアックス
282,"Action, Mystery, Drama, Romance, Seinen",エンジェル・ハート
283,"Slice of Life, Historical, Drama",赤毛のアン
284,"Action, Drama, Military, Romance, Shounen",エリア８８
285,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",アルジェント ソーマ
286,"Adventure, Mecha, Sci-Fi, Shounen",B`T X　ビート・エックス
287,"Action, Sports, Martial Arts, Shounen",グラップラー刃牙
288,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen",爆転シュート　ベイブレード
289,"Comedy, Drama",こみっくパーティー
290,"Action, Military, Sci-Fi, Space, Romance",星界の紋章
291,"Comedy, Harem, Romance, Supernatural, Drama",D.C.S.S. ～ダ・カーポ セカンドシーズン～
292,"Drama, Shounen, Sports",ディア・ボーイズ
293,"Comedy, Fantasy, Sci-Fi",デ・ジ･キャラット
294,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",ダイバージェンス・イヴ
295,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",みさきクロニクル 〜ダイバージェンス・イヴ〜
296,"Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen",ドラゴンドライブ
297,"Action, Ecchi, Adventure, Comedy, Shounen",グレネーダー 〜ほほえみの閃士〜
298,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen",.hack//黄昏の腕輪伝説
299,"Game, Mystery, Sci-Fi",.hack//LIMINALITY
300,"Action, Demons, Fantasy, Horror, Romance",3×3EYES
301,"Action, Adventure, Mystery, Comedy, Seinen",シンデレラボーイ
302,"Adventure, Drama, Sci-Fi",未来少年コナン
303,"Comedy, Magic, Supernatural",ああっ女神さまっ 小っちゃいって事は便利だねっ
304,"Comedy, Magic, Romance, Seinen, Supernatural",劇場版　ああっ女神さまっ
305,"Action, Comedy, Shounen",あばしり一家
306,"Comedy, Parody, Ecchi, Fantasy",アベノ橋魔法☆商店街
307,"Kids, Fantasy, Comedy",けろっこデメタン
308,"Sci-Fi, Mystery, Drama, Fantasy, Shounen",絶対少年
309,"Comedy, Magic, Parody",あかほり外道アワーらぶげ
310,"Comedy, Supernatural",小さなおばけ アッチ・ソッチ・コッチ
311,"Sports, Drama, Romance, School, Shoujo",エースをねらえ!
312,"Action, Drama, Sports",「エースをねらえ！」 —ファイナル・ステージ—
313,"Sports, Drama, Romance, School, Shoujo",エースをねらえ！
314,"Drama, Shoujo, Sports",エースをねらえ！２
315,"Action, Drama, Fantasy, Romance",チャイニーズゴーストストーリー小倩
317,"Action, Super Power, Fantasy",ファイナルファンタジーVII アドベントチルドレン
318,"Comedy, Ecchi, Harem, Romance, Sci-Fi",HAND MAID メイ
319,"Ecchi, Fantasy, Comedy, Romance",Happy World!
321,"Action, Ecchi, Comedy, Sci-Fi",ナジカ電撃作戦
322,"Comedy, Drama, Josei, Romance, Slice of Life",Paradise kiss
323,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller",妄想代理人
324,"Comedy, Mecha, Police, Sci-Fi",機動警察パトレイバー ON TELEVISION
325,"Slice of Life, Drama, Romance, School, Shoujo",ピーチガール
326,"Horror, Josei, Mystery, Supernatural",Pet Shop of Horrors (ペットショップ・オブ・ホラーズ)
327,"Comedy, Magic, Fantasy, Shoujo",ぷちぷり＊ユーシィ
328,"Music, Slice of Life, Drama, Romance, Shoujo",PIANO
329,"Drama, Romance, Sci-Fi, Seinen, Space",プラネテス
330,"Comedy, Drama, Romance, Ecchi, Shounen",美鳥の日々
331,"Adventure, Comedy, Magic, Fantasy, Shounen",魔法陣グルグル
332,"Adventure, Comedy, Magic, Fantasy, Shounen",ドキドキ♡伝説 魔法陣グルグル
333,"Comedy, Drama, Sci-Fi",ママは小学４年生
334,"Comedy, Drama, Romance, Shoujo",ママレード・ボーイ
335,"Comedy, Magic, Mystery, Shounen, Supernatural",魔探偵ロキ RAGNAROK
336,"Fantasy, Shoujo",吟遊黙示録 マイネリーベ
337,"Comedy, Romance, Supernatural",サイキックアカデミー煌羅万象
338,"Military, Historical, Drama, Romance, Shoujo",ベルサイユのばら
339,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",シリアルエクスペリメンツレイン
340,"Action, Historical, Martial Arts, Samurai, Shounen",陸奥圓明流外伝 修羅の刻
341,"Drama, Mystery, Shounen",スパイラル -推理の絆-
342,"Drama, Military, Sci-Fi, Space",スターシップ・オペレーターズ
343,"Comedy, Romance, Vampire, Fantasy, Seinen",月詠 −MOON PHASE−
344,"Sci-Fi, Supernatural, Drama, School",ふたつのスピカ
345,"Slice of Life, Historical, Drama, Romance, Seinen",英國戀物語エマ
346,"Drama, Harem, Romance, School, Slice of Life",W 〜ウィッシュ〜
347,"Action, Sci-Fi, Adventure, Magic, Vampire, Fantasy",ワイルドアームズ トワイライトヴェノム
348,"Comedy, Fantasy, Magic, Slice of Life",瓶詰妖精
349,"Supernatural, Drama, Magic, Fantasy",まじかるカナン
350,"Comedy, Magic",おジャ魔女どれみ
351,"Comedy, Magic, Shoujo",おジャ魔女どれみ＃
352,"Magic, Fantasy, Comedy, Shoujo",も〜っと！おジャ魔女どれみ
353,"Comedy, Magic, Shoujo",おジャ魔女どれみドッカ〜ン！
354,"Comedy, Ecchi, Magic, Sci-Fi",UG☆アルティメットガール
355,"Action, Drama, Fantasy, Romance, School, Supernatural",灼眼のシャナ
356,"Action, Supernatural, Magic, Romance, Fantasy",Fate/stay night
357,"Comedy, Magic, Ecchi",撲殺天使ドクロちゃん
358,"Drama, Romance, Sci-Fi",イリヤの空、UFOの夏
359,"Action, Sports, School, Shounen",I'll/CKBC
360,"Adventure, Supernatural, Drama, Fantasy",火魅子伝
361,"Romance, Drama",Memories Off (メモリーズオフ)
362,"Romance, Drama",Memories Off 2nd (メモリーズオフ 2nd)
363,"Romance, Drama",Memories Off 3.5 [メモリーズオフ3.5]
364,"Mystery, Seinen",ギャラリーフェイク
365,"Police, Comedy, Romance, Mystery, Shounen Ai",FAKE
366,"Action, Ecchi, Adventure, Comedy, Sci-Fi",ＡＩＫａ
367,"Comedy, Fantasy, Magic",赤ずきんチャチャ (1995)
369,"Psychological, Supernatural, Dementia, Mystery, Drama, Horror",ブギーポップは笑わない Boogiepop Phantom
370,"Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen",バーンナップEXCESS
371,"Comedy, Drama, Magic, Fantasy, Shoujo",劇場版 カードキャプターさくら
372,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",劇場版 カードキャプターさくら 封印されたカード
373,"Sci-Fi, Adventure, Comedy, Mecha, Seinen",万能文化猫娘
374,"Action, Comedy, Ecchi, Romance, Sci-Fi",万能文化猫娘ＤＡＳＨ！
375,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen",万能文化猫娘
376,"Horror, Psychological, Supernatural, Drama, Ecchi, Seinen",エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）
377,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen",エクスドライバー
378,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen",エクスドライバー the Movie
379,"Comedy, Parody, Sci-Fi, Shounen",へっぽこ実験アニメーション エクセル♥サーガ
380,"Adventure, Fantasy, Romance, Comedy, Historical, Shoujo",ふしぎ遊戯
381,"Adventure, Drama, Fantasy, Historical, Martial Arts, Romance, Shoujo",ふしぎ遊戯　第二部
382,"Comedy, Ecchi, Romance, Seinen, Slice of Life",ふたりエッチ
383,"Comedy, Sci-Fi",ギャラクシーエンジェル
384,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi",ガンツ
385,"Drama, Fantasy, Sci-Fi, Supernatural",ギルガメッシュ
